OBJECTID,PWGRID,OWNEDBY,STATUS,Code Name,Portal Destination,Risk Level,ID,X-coord,Y-coord,longitude,latitude
77,39-478,STAT,ACT,anogermseol,Forsaken Stronghold,You should be fine.,69459,7541209.17,478360.1949,-123.05328226399996,44.950136849000046
96,36-454,CS,ABND,goeeslnmaro,Dreamlike Stronghold,You should be fine.,70738,7540672.026,454102.8865,-123.05239634699996,44.883585897000046
97,54-478,CS,ACT,egeranosolm,Labyrinthine Plateau,"You should bring a group, a guide, and a weapon.",70739,7557261.169,479216.9869,-122.99140886599997,44.953860303000056
104,42-454,CS,ACT,losnmogreae,Malevolent Temple,You might want to bring a friend.,30185,7545854.712,454869.4869,-123.03250262799997,44.88613494200007
105,42-452,CS,ACT,gmelaoreson,Tangled Burrow,This is probably your last adventure.,32402,7546348.471,452406.8806,-123.030300878,44.87942575400007
107,42-452,CS,ACT,ealsronemog,Nocturnal Dale,You should be fine.,32396,7546238.45,452411.2881,-123.03072565999997,44.879428387000075
108,42-452,CS,ACT,elomnoagres,Enigmatic Spring,You should bring a group and a guide.,32413,7546667.98,452392.7418,-123.02906710699995,44.879414428000075
109,42-452,CS,ACT,ogrolemeans,Winding Reef,You should bring a group.,32373,7546720.034,452413.728,-123.02886891499998,44.879476433000036
110,45-452,CS,ACT,lgrmeosnaoe,Fragrant Bog,"You should bring a group, a guide, a weapon, and a healer.",31725,7548074.995,453282.8904,-123.02374875499999,44.88197558200005
111,45-452,CS,ACT,ronaslegeom,Undulating Prairie,"You should bring a group, a guide, a weapon, and a healer.",31726,7548242.916,453281.0741,-123.02310098699996,44.88198498700007
112,48-450,CS,ACT,agosoelermn,Humming Conclave,You should bring a group.,33323,7549926.243,451205.5489,-123.01636020199999,44.87643856900007
113,45-452,CS,ACT,gneomasloer,Roaring Refuge,"You should bring a group, a guide, and a weapon.",31731,7548414.79,453275.3878,-123.02243750599996,44.88198411600007
114,45-452,CS,ACT,mnasoogelre,Overgrown Gulf,You should bring a group and a guide.,31746,7548492.385,453261.9065,-123.02213665499994,44.88195379800004
115,45-452,CS,ACT,olnosgemrea,Subterranean Depot,"You should bring a group, a guide, a weapon, and a healer.",31761,7548753.27,453250.3205,-123.02112921099996,44.88194436500004
116,48-484,CS,ACT,neemgloosra,Crystalline Dune,You should be fine.,4157,7552074.622,484183.9885,-123.01203133799999,44.96703769700008
117,48-484,CS,ACT,neoeosarglm,Unforgiving Pasture,You should be fine.,4158,7552063.156,484182.0259,-123.01207538399996,44.96703133800003
118,48-484,CS,ACT,oeglsaoemnr,Coiling Dome,You might want to bring a friend.,4223,7551988.11,484008.1985,-123.01234433199994,44.96654836400006
119,48-482,CS,ACT,enosegorlam,Misty Haven,You should bring a group and a guide.,4346,7551909.016,483831.063,-123.01262850799998,44.96605597400003
120,48-482,CS,ACT,esoolmgrnea,Tenebrous Barrow,You should bring a group and a guide.,4439,7551843.217,483683.8852,-123.01286493899994,44.96564685100003
121,48-482,CS,ACT,esoomrlaegn,Quivering Sanctum,You might want to bring a friend.,4493,7551742.358,483610.3576,-123.01324561099995,44.96543666000008
122,45-452,CS,ACT,nesglemoora,Petrified Nook,You should bring a group and a guide.,31740,7549362.016,453267.4459,-123.01878376699995,44.88204339200007
123,45-452,CS,ACT,lgoameneors,Ephemeral Tundra,You should bring a group and a guide.,31767,7549051.228,453247.7123,-123.01997988499994,44.88196270900005
124,45-452,CS,ACT,aemgooelnsr,Frigid Precinct,You should be fine.,31742,7549354.379,453266.5351,-123.01881310699997,44.88204024200007
125,45-452,CS,ACT,lrgmeoaoesn,Barren Warren,You should be fine.,31682,7549653.593,453325.9649,-123.01766639299996,44.882228757000064
126,48-454,CS,ACT,eogsnerolma,Murmuring Sierra,"You should bring a group, a guide, a weapon, and a healer.",29746,7550300.953,455392.5325,-123.01541817099996,44.887949906000074
127,48-454,CS,ACT,maorseogenl,Volcanic Sanctuary,"You should bring a group, a guide, a weapon, and a healer.",29792,7550262.698,455342.6683,-123.01555971999994,44.88780992900007
128,33-482,CS,ACT,noegsarelom,Moonlit Spring,You should bring a group and a guide.,5753,7536721.622,482177.5174,-123.07107695099995,44.96021212200003
129,33-482,CS,ACT,argoenemosl,Drifting Well,You should bring a group and a guide.,5719,7537203.455,482205.4715,-123.06921979699996,44.960330799000076
130,33-482,CS,ACT,roesemlonga,Glassy Oasis,This is probably your last adventure.,5699,7536725.079,482224.1985,-123.07106933999995,44.96034040500007
131,33-482,CS,ACT,seamroloeng,Coiling Waste,"You should bring a group, a guide, and a weapon.",5739,7536385.893,482188.8711,-123.07237475599999,44.960213940000074
132,33-482,CS,ACT,aeognslmeor,Stealthy Mountain,You should bring a group and a guide.,5934,7536655.373,482031.3967,-123.07131480799995,44.95980573700007
133,33-482,CS,ACT,mgnaoolsere,Fabled Sound,You might want to bring a friend.,5798,7537487.49,482139.5233,-123.06811490399997,44.960174762000065
134,33-482,CS,ACT,omnalesegro,Dreamlike Shambles,"You should bring a group, a guide, and a weapon.",5830,7536659.862,482136.1624,-123.07131035299994,44.96009335300005
135,33-482,CS,ACT,oonsegarlme,Scalding Geyser,"You should bring a group, a guide, a weapon, and a healer.",4609,7535984.361,483459.6283,-123.07408165799995,44.963662760000034
136,33-482,CS,ACT,oeemgrnaols,Abyssal Domain,You might want to bring a friend.,4562,7536061.807,483511.0108,-123.07378890599995,44.96381039600004
137,33-482,CS,ACT,aselgooemnr,Bewitched Estuary,"You should bring a group, a guide, a weapon, and a healer.",4675,7536064.371,483409.9436,-123.07376656799994,44.96353353600006
138,48-452,CS,ACT,erleaosomgn,Perilous Desert,You should be fine.,31146,7550776.721,453827.022,-123.01339538299999,44.883698398000035
139,48-452,CS,ACT,omaelgnrose,Looming Boutique,"You should bring a group, a guide, a weapon, and a healer.",31168,7550788.336,453807.8343,-123.01334828999995,44.883646783000074
140,48-454,CS,ACT,oomenegslar,Shimmering Isle,You should be fine.,30982,7550974.177,454014.7195,-123.01265643,44.884229848000075
141,48-452,CS,ACT,ernmoaogels,Portentous Dungeon,"You should bring a group, a guide, a weapon, and a healer.",31231,7550606.995,453757.9049,-123.01404161999994,44.883494419000044
142,48-452,CS,ACT,laeoormegsn,Swollen Fen,This is probably your last adventure.,31043,7551088.652,453948.7228,-123.01220704499997,44.88405867000006
143,48-470,CS,ACT,mlsagerneoo,Humming Glade,You might want to bring a friend.,18236,7552523.385,471486.706,-123.00877497399995,44.93226431800008
144,48-470,CS,ACT,emlosegoanr,Quaint Sierra,You should bring a group and a guide.,18286,7552496.094,471402.9806,-123.00887026999999,44.93203244700004
145,48-470,CS,ACT,elegsooanrm,Exquisite Hollow,You might want to bring a friend.,18338,7552626.609,471305.8383,-123.00835487999996,44.93177722900003
148,42-452,CS,ACT,eeonsmolarg,Flourishing Peninsula,You should bring a group.,31920,7546472.719,453040.3182,-123.02989827599998,44.881173094000076
149,54-476,CS,ACT,norasemlego,Zephyrous Basin,You should bring a group and a guide.,10806,7558485.906,477858.0341,-122.98651840099996,44.95023796700008
150,36-476,CS,ACT,eaolngseomr,Glistening Road,You should bring a group and a guide.,12025,7538341.277,477142.5016,-123.06420538599997,44.946549308000044
151,39-480,CS,ACT,goaemesrnol,Blazing Boutique,You should be fine.,8087,7540958.555,480009.9226,-123.05445129499998,44.95463803500007
153,33-482,CS,ACT,lograemsoen,Coiling Pit,You might want to bring a friend.,4565,7536056.157,483507.7398,-123.07381032299998,44.96380093500005
154,33-482,CS,ACT,lnaoregesmo,Arctic Creek,You might want to bring a friend.,4569,7536050.614,483504.7792,-123.07383136299995,44.96379233400006
155,33-482,CS,ACT,ogolrmenaes,Undulating Waters,You should bring a group and a guide.,4571,7536045.505,483501.8186,-123.07385072799997,44.96378377100007
162,36-476,CS,ACT,elmasnogreo,Stealthy Range,You should be fine.,11677,7539348.393,477328.503,-123.06034010399998,44.947146848000045
163,48-464,CS,ACT,gonlamoseer,Monolithic Sanctum,You might want to bring a friend.,22937,7552415.208,464074.9199,-123.00830405499994,44.91193444100003
166,42-454,CS,ACT,geasomoenlr,Hollow Path,You should be fine.,30034,7543934.395,455086.8123,-123.03993476999995,44.88656544200006
167,39-476,CS,ACT,gnooaremesl,Unforgiving Glade,"You should bring a group, a guide, and a weapon.",10784,7541681.906,477868.3379,-123.05139712099998,44.94882932500008
168,42-442,CS,ACT,elosrmegaon,Desolate River,You should bring a group and a guide.,36319,7546724.698,443667.0453,-123.02779529599997,44.85549638500004
169,45-442,CS,ACT,eoasemrlong,Portentous Bayou,You should bring a group.,36373,7546876.815,443268.0984,-123.02716084399998,44.85441565700006
170,42-442,CS,ACT,sloagrmneeo,Rhapsodic Badlands,This is probably your last adventure.,36345,7546334.297,443523.2556,-123.02928274099997,44.85506865200006
171,42-442,CS,ACT,lnarsemogeo,Subterranean Highland,You should bring a group.,36353,7546163.617,443460.9426,-123.02993309799996,44.85488315400005
172,48-484,CS,ACT,elmngsoaroe,Decayed Crescent,"You should bring a group, a guide, and a weapon.",3835,7551826.777,484554.2592,-123.01303301499996,44.96803171100004
173,42-450,CS,ACT,roosnemaelg,Haunted Depot,"You should bring a group, a guide, a weapon, and a healer.",33401,7545067.106,451120.5843,-123.03508625799998,44.87578900700004
174,42-450,CS,ACT,omalensoegr,Primeval Chateau,You might want to bring a friend.,33101,7545081.224,451450.3688,-123.03507173199995,44.876694376000046
175,42-456,CS,ACT,egeramslnoo,Swirling Atoll,You might want to bring a friend.,28747,7545122.415,456698.8501,-123.03554825599997,44.891087424000034
176,42-456,CS,ACT,mngeorlasoe,Volcanic Cliff,You might want to bring a friend.,28773,7545121.311,456660.8281,-123.03554790899994,44.89098308600006
177,42-456,CS,ACT,lnseeogarmo,Phantasmal Battleground,"You should bring a group, a guide, a weapon, and a healer.",28775,7545171.841,456659.3688,-123.03535284499998,44.89098343500007
178,42-456,CS,ACT,moenleaogsr,Tangled Estuary,You should bring a group.,28859,7545167.71,456528.518,-123.035352935,44.89062433200007
180,42-462,CS,ACT,glreeoomans,Secluded Creek,You should bring a group.,24340,7546511.427,462636.2323,-123.03090860199995,44.90748508900003
181,42-462,CS,ACT,lneoseraogm,Baleful Tomb,You might want to bring a friend.,24603,7546543.222,462375.498,-123.03075441299995,44.90677297900004
183,39-478,STAT,ACT,emeoaslgrno,Tranquil Falls,You might want to bring a friend.,69458,7541547.447,478337.4262,-123.05197345599998,44.95010373800005
190,39-478,STAT,ACT,logrnoaemse,Baleful Sanctum,You should be fine.,10094,7541657.577,478403.9718,-123.05155637899998,44.95029572000004
191,39-478,STAT,ACT,eesgaoronlm,Nautical Vale,You should bring a group and a guide.,10201,7541607.086,478339.8343,-123.05174349299995,44.95011550600003
192,39-478,STAT,ACT,seraolgmnoe,Subterranean Expanse,"You should bring a group, a guide, and a weapon.",10274,7541604.909,478294.894,-123.05174641699995,44.94999210900005
193,39-478,STAT,ACT,oelrensaomg,Ominous Bivouac,You should bring a group.,10294,7541680.339,478263.1811,-123.051451327,44.94991169800005
194,39-478,STAT,ACT,maengsolroe,Divine Range,This is probably your last adventure.,10316,7541684.006,478239.4829,-123.05143427999997,44.94984704400008
195,45-468,CS,ACT,emgnoreasol,Phantasmal Path,You should bring a group and a guide.,20061,7547093.06,468310.7546,-123.02935027599995,44.92309258900008
199,60-472,CS,ACT,senreoaomlg,Crystalline Haven,"You should bring a group, a guide, a weapon, and a healer.",17175,7563358.844,473183.815,-122.96715290499998,44.937832393000065
205,45-450,CS,ACT,oeesolgamnr,Venerable Monument,You might want to bring a friend.,64666,7549179.762,451577.9508,-123.01928336299994,44.87739577000008
207,48-466,CS,ACT,aloneosrgem,Malevolent Reef,"You should bring a group, a guide, a weapon, and a healer.",64978,7550017.792,466655.7313,-123.01786445299996,44.91880564100006
212,54-476,CS,ACT,nesgromaoel,Legendary Dome,You might want to bring a friend.,65303,7558626.27,477602.2733,-122.98594606899997,44.949548598000035
233,30-470,CS,ABND,ogeonrmsela,Smoldering Peninsula,You should bring a group and a guide.,66274,7533872.692,471033.8346,-123.08070298299998,44.929411592000065
234,42-456,CS,ACT,rslaemnooeg,Golden Tower,"You should bring a group, a guide, and a weapon.",66579,7546655.577,457798.7927,-123.02976789999997,44.89423489600006
238,36-456,CS,ACT,esreaolmong,Lavish Cavern,You should bring a group and a guide.,67218,7539220.847,456291.4905,-123.05825993599996,44.88946035600003
240,51-476,CS,REM,rslneegaomo,Painted Pasture,You should bring a group and a guide.,67538,7554792.264,477285.1352,-123.00071073299995,44.94835460000007
248,45-466,CS,ACT,oregenlaosm,Vast Palace,You should bring a group.,20945,7547435.091,466755.0223,-123.02784245799995,44.918856676000075
249,45-466,CS,ACT,lrmaoegosne,Pulsing Dome,You might want to bring a friend.,20331,7547117.462,467911.3793,-123.02920784499997,44.92199973700008
266,48-474,CS,ACT,solorgeeanm,Bleak Stronghold,You should bring a group.,64002,7550126.134,475573.0131,-123.01851940199998,44.94326302500008
284,48-468,CS,ACT,osgnarlmeoe,Rustic Park,You should be fine.,64039,7550255.511,468026.7667,-123.01711203299999,44.92258486900005
297,48-454,CS,ACT,lnosegorame,Luxuriant Volcano,This is probably your last adventure.,60489,7549833.312,455436.1391,-123.01722696299998,44.88802951500003
308,42-480,CS,ACT,esongmalore,Sanguine Citadel,You should bring a group.,60810,7546120.68,480546.1965,-123.03458450999995,44.95655418000007
309,33-450,CS,ACT,lsreoeoanmg,Ethereal Castle,You might want to bring a friend.,60811,7535404.942,450746.211,-123.07229564499994,44.87392501700003
310,33-450,CS,ACT,smrolgaeone,Forgotten Meadow,"You should bring a group, a guide, a weapon, and a healer.",60812,7535409.213,450717.2005,-123.07227561499997,44.87384585400008
311,33-450,CS,ACT,grooenalems,Inverted Ziggurat,You should be fine.,60813,7535417.442,450716.9403,-123.07224385499995,44.873845860000074
312,33-450,CS,ACT,asgelnoomer,Celestial Gorge,You should be fine.,60814,7535425.358,450716.9403,-123.07221333099994,44.87384655100004
330,48-462,CS,ACT,olrgenoamse,Serene Creek,You should bring a group.,61778,7550656.807,462621.2497,-123.01491386799995,44.907799037000075
331,48-462,CS,ACT,lmonogsreea,Whispered Abyss,This is probably your last adventure.,61779,7550907.327,462841.8225,-123.01397383799997,44.90842515700007
332,48-462,CS,ACT,lanemerosog,Sanguine Bog,This is probably your last adventure.,61780,7551129.854,463038.8278,-123.01313896499994,44.90898426700005
333,48-462,CS,ACT,mloageoesrn,Moaning Town,You should bring a group and a guide.,61781,7551356.233,463237.7631,-123.01228944199994,44.909548992000055
334,48-462,CS,ACT,srlmoeneoag,Spectral Scar,You might want to bring a friend.,61782,7551548.67,463406.5784,-123.011567244,44.91002823700006
335,48-462,CS,ACT,oogrmlasnee,Sacred Cape,"You should bring a group, a guide, and a weapon.",61783,7551590.12,463443.0367,-123.01141169599998,44.91013172700008
336,48-462,CS,ACT,ergnelomaos,Quaint Ruins,"You should bring a group, a guide, and a weapon.",61784,7551732.728,463571.0538,-123.010876839,44.91049486400004
337,48-462,CS,ACT,ernogmasleo,Pulsing Vale,"You should bring a group, a guide, a weapon, and a healer.",61785,7551986.428,463816.9514,-123.00992749199997,44.91119065400005
338,48-462,CS,ACT,rseonglaemo,Forbidden Dungeon,This is probably your last adventure.,61786,7551975.918,463657.0577,-123.00994887299998,44.91075138300005
339,48-462,CS,ACT,saonmorgele,Bewitched Maze,"You should bring a group, a guide, and a weapon.",61787,7551896.816,463331.226,-123.01021499199999,44.90985132000003
371,63-480,CS,ACT,oarenoeglsm,Scorched Cliff,You should be fine.,58562,7564863.787,481152.6982,-122.96228142399997,44.959806653000044
387,42-470,CS,ACT,goereomlsan,Moldering Vista,You might want to bring a friend.,58898,7543858.629,471893.7297,-123.04226725399997,44.932637389000035
397,30-474,CS,ACT,morlgnoasee,Serene Forest,You should bring a group and a guide.,56965,7533457.06,475043.7566,-123.08280197999994,44.94036871700007
398,30-474,CS,ACT,elmresonaog,Moaning Oasis,This is probably your last adventure.,56966,7533466.69,475059.7464,-123.08276677999999,44.94041339900008
399,30-476,CS,ACT,moeansolrge,Labyrinthine Garden,You should bring a group.,56967,7534672.771,476112.8097,-123.07824091599997,44.94340611300004
433,54-486,CS,ACT,oearelngosm,Serpentine Mountain,You should bring a group.,52489,7558260.049,486269.2608,-122.98839098299999,44.973279785000045
434,54-486,CS,ACT,areeomlgson,Gloomy Scar,This is probably your last adventure.,52490,7558478.14,486260.8094,-122.98754760499997,44.97327503300005
435,54-486,CS,ACT,ogaesemnlro,Mysterious Hollow,"You should bring a group, a guide, a weapon, and a healer.",52491,7558677.154,486253.0971,-122.98677799899997,44.97327069100004
436,39-472,CS,ACT,srolnoeameg,Magnificent Trail,You should bring a group.,52802,7543685.743,473366.6224,-123.04311354099997,44.93666059200007
441,45-446,CS,ACT,mloasenegro,Nocturnal Paradise,This is probably your last adventure.,53782,7548791.139,447954.6906,-123.02034590099998,44.86742874400005
443,42-450,CS,ACT,sroemgoalne,Phantasmal Crescent,This is probably your last adventure.,54083,7545193.44,451088.7421,-123.034595277,44.87571257800005
450,39-462,CS,ACT,rgeaolnmeos,Verdant Field,This is probably your last adventure.,54406,7543627.857,461974.9744,-123.04195304199999,44.905423874000064
457,39-462,CS,ACT,eagoeromlsn,Mystical Frost,You should be fine.,54413,7543701.286,462101.9882,-123.041685186,44.90577843600005
460,42-456,CS,ACT,lmnorsaeoeg,Glacial Reliquary,"You should bring a group, a guide, and a weapon.",54722,7545273.948,456849.7316,-123.03498207499996,44.891514130000076
465,48-466,CS,ACT,loreaongems,Sanguine Tundra,"You should bring a group, a guide, and a weapon.",55042,7550177.553,467920.2956,-123.01740007099994,44.92228630000005
466,39-450,CS,ACT,ognmrealeos,Stealthy Ledge,"You should bring a group, a guide, and a weapon.",55043,7540951.351,451152.0778,-123.05095974999995,44.87552005300006
467,39-450,CS,ACT,goasnremelo,Malevolent Dale,"You should bring a group, a guide, and a weapon.",55044,7540953.832,451153.1798,-123.05095031699994,44.87552329000005
468,39-450,CS,ACT,sanleregmoo,Cobalt Town,"You should bring a group, a guide, a weapon, and a healer.",55045,7540965.637,451152.6936,-123.05090473799999,44.87552297900004
469,39-450,CS,ACT,rasnmleogeo,Exquisite Tavern,You should bring a group.,55046,7540975.846,451152.1381,-123.05086530899996,44.87552234000003
470,39-468,CS,ACT,lsoanrgmeoe,Scalding Stronghold,You should be fine.,55047,7541381.578,469701.1654,-123.05156044499995,44.926412036000045
477,45-448,CS,ACT,oeloasengrm,Moaning Stronghold,You should bring a group and a guide.,55365,7549721.87,449522.2001,-123.01694596699997,44.871805918000064
478,45-448,CS,ACT,glameorseno,Shimmering Vault,You should bring a group.,55366,7549721.391,449512.2103,-123.01694661299996,44.871778488000075
480,57-482,CS,ACT,eglesronmoa,Hidden Cloister,"You should bring a group, a guide, a weapon, and a healer.",49621,7561720.318,482266.5141,-122.974552,44.96259699900003
481,57-482,CS,ACT,lmenograose,Scorched Road,"You should bring a group, a guide, a weapon, and a healer.",49622,7561717.089,482271.8051,-122.974565096,44.962611234000065
482,60-478,CS,ACT,aroeolesgnm,Cavernous Vale,"You should bring a group, a guide, a weapon, and a healer.",49635,7562562.961,479743.8904,-122.97099984599998,44.95575146600004
