Code Name,Portal Destination,Risk Level,ID,X-coord,Y-coord
elomnoagres,Enigmatic Spring,You should bring a group and a guide.,32413,7546667.98,452392.7418
ogrolemeans,Winding Reef,You should bring a group.,32373,7546720.034,452413.728
lgrmeosnaoe,Fragrant Bog,"You should bring a group, a guide, a weapon, and a healer.",31725,7548074.995,453282.8904
ronaslegeom,Undulating Prairie,"You should bring a group, a guide, a weapon, and a healer.",31726,7548242.916,453281.0741
agosoelermn,Humming Conclave,You should bring a group.,33323,7549926.243,451205.5489
gneomasloer,Roaring Refuge,"You should bring a group, a guide, and a weapon.",31731,7548414.79,453275.3878
mnasoogelre,Overgrown Gulf,You should bring a group and a guide.,31746,7548492.385,453261.9065
olnosgemrea,Subterranean Depot,"You should bring a group, a guide, a weapon, and a healer.",31761,7548753.27,453250.3205
neemgloosra,Crystalline Dune,You should be fine.,4157,7552074.622,484183.9885
neoeosarglm,Unforgiving Pasture,You should be fine.,4158,7552063.156,484182.0259
oeglsaoemnr,Coiling Dome,You might want to bring a friend.,4223,7551988.11,484008.1985
enosegorlam,Misty Haven,You should bring a group and a guide.,4346,7551909.016,483831.063
esoolmgrnea,Tenebrous Barrow,You should bring a group and a guide.,4439,7551843.217,483683.8852
esoomrlaegn,Quivering Sanctum,You might want to bring a friend.,4493,7551742.358,483610.3576
nesglemoora,Petrified Nook,You should bring a group and a guide.,31740,7549362.016,453267.4459
lgoameneors,Ephemeral Tundra,You should bring a group and a guide.,31767,7549051.228,453247.7123
aemgooelnsr,Frigid Precinct,You should be fine.,31742,7549354.379,453266.5351
lrgmeoaoesn,Barren Warren,You should be fine.,31682,7549653.593,453325.9649
eogsnerolma,Murmuring Sierra,"You should bring a group, a guide, a weapon, and a healer.",29746,7550300.953,455392.5325
maorseogenl,Volcanic Sanctuary,"You should bring a group, a guide, a weapon, and a healer.",29792,7550262.698,455342.6683
noegsarelom,Moonlit Spring,You should bring a group and a guide.,5753,7536721.622,482177.5174
argoenemosl,Drifting Well,You should bring a group and a guide.,5719,7537203.455,482205.4715
roesemlonga,Glassy Oasis,This is probably your last adventure.,5699,7536725.079,482224.1985
seamroloeng,Coiling Waste,"You should bring a group, a guide, and a weapon.",5739,7536385.893,482188.8711
aeognslmeor,Stealthy Mountain,You should bring a group and a guide.,5934,7536655.373,482031.3967
mgnaoolsere,Fabled Sound,You might want to bring a friend.,5798,7537487.49,482139.5233
omnalesegro,Dreamlike Shambles,"You should bring a group, a guide, and a weapon.",5830,7536659.862,482136.1624
oonsegarlme,Scalding Geyser,"You should bring a group, a guide, a weapon, and a healer.",4609,7535984.361,483459.6283
oeemgrnaols,Abyssal Domain,You might want to bring a friend.,4562,7536061.807,483511.0108
aselgooemnr,Bewitched Estuary,"You should bring a group, a guide, a weapon, and a healer.",4675,7536064.371,483409.9436
erleaosomgn,Perilous Desert,You should be fine.,31146,7550776.721,453827.022
omaelgnrose,Looming Boutique,"You should bring a group, a guide, a weapon, and a healer.",31168,7550788.336,453807.8343
oomenegslar,Shimmering Isle,You should be fine.,30982,7550974.177,454014.7195
ernmoaogels,Portentous Dungeon,"You should bring a group, a guide, a weapon, and a healer.",31231,7550606.995,453757.9049
laeoormegsn,Swollen Fen,This is probably your last adventure.,31043,7551088.652,453948.7228
mlsagerneoo,Humming Glade,You might want to bring a friend.,18236,7552523.385,471486.706
emlosegoanr,Quaint Sierra,You should bring a group and a guide.,18286,7552496.094,471402.9806
elegsooanrm,Exquisite Hollow,You might want to bring a friend.,18338,7552626.609,471305.8383
eeonsmolarg,Flourishing Peninsula,You should bring a group.,31920,7546472.719,453040.3182
norasemlego,Zephyrous Basin,You should bring a group and a guide.,10806,7558485.906,477858.0341
eaolngseomr,Glistening Road,You should bring a group and a guide.,12025,7538341.277,477142.5016
goaemesrnol,Blazing Boutique,You should be fine.,8087,7540958.555,480009.9226
lograemsoen,Coiling Pit,You might want to bring a friend.,4565,7536056.157,483507.7398
lnaoregesmo,Arctic Creek,You might want to bring a friend.,4569,7536050.614,483504.7792
ogolrmenaes,Undulating Waters,You should bring a group and a guide.,4571,7536045.505,483501.8186
elmasnogreo,Stealthy Range,You should be fine.,11677,7539348.393,477328.503
gonlamoseer,Monolithic Sanctum,You might want to bring a friend.,22937,7552415.208,464074.9199
geasomoenlr,Hollow Path,You should be fine.,30034,7543934.395,455086.8123
gnooaremesl,Unforgiving Glade,"You should bring a group, a guide, and a weapon.",10784,7541681.906,477868.3379
elosrmegaon,Desolate River,You should bring a group and a guide.,36319,7546724.698,443667.0453
eoasemrlong,Portentous Bayou,You should bring a group.,36373,7546876.815,443268.0984
sloagrmneeo,Rhapsodic Badlands,This is probably your last adventure.,36345,7546334.297,443523.2556
lnarsemogeo,Subterranean Highland,You should bring a group.,36353,7546163.617,443460.9426
elmngsoaroe,Decayed Crescent,"You should bring a group, a guide, and a weapon.",3835,7551826.777,484554.2592
roosnemaelg,Haunted Depot,"You should bring a group, a guide, a weapon, and a healer.",33401,7545067.106,451120.5843
omalensoegr,Primeval Chateau,You might want to bring a friend.,33101,7545081.224,451450.3688
egeramslnoo,Swirling Atoll,You might want to bring a friend.,28747,7545122.415,456698.8501
mngeorlasoe,Volcanic Cliff,You might want to bring a friend.,28773,7545121.311,456660.8281
lnseeogarmo,Phantasmal Battleground,"You should bring a group, a guide, a weapon, and a healer.",28775,7545171.841,456659.3688
moenleaogsr,Tangled Estuary,You should bring a group.,28859,7545167.71,456528.518
glreeoomans,Secluded Creek,You should bring a group.,24340,7546511.427,462636.2323
lneoseraogm,Baleful Tomb,You might want to bring a friend.,24603,7546543.222,462375.498
emeoaslgrno,Tranquil Falls,You might want to bring a friend.,69458,7541547.447,478337.4262
logrnoaemse,Baleful Sanctum,You should be fine.,10094,7541657.577,478403.9718
eesgaoronlm,Nautical Vale,You should bring a group and a guide.,10201,7541607.086,478339.8343
seraolgmnoe,Subterranean Expanse,"You should bring a group, a guide, and a weapon.",10274,7541604.909,478294.894
oelrensaomg,Ominous Bivouac,You should bring a group.,10294,7541680.339,478263.1811
maengsolroe,Divine Range,This is probably your last adventure.,10316,7541684.006,478239.4829
emgnoreasol,Phantasmal Path,You should bring a group and a guide.,20061,7547093.06,468310.7546
senreoaomlg,Crystalline Haven,"You should bring a group, a guide, a weapon, and a healer.",17175,7563358.844,473183.815
oeesolgamnr,Venerable Monument,You might want to bring a friend.,64666,7549179.762,451577.9508
aloneosrgem,Malevolent Reef,"You should bring a group, a guide, a weapon, and a healer.",64978,7550017.792,466655.7313
nesgromaoel,Legendary Dome,You might want to bring a friend.,65303,7558626.27,477602.2733
ogeonrmsela,Smoldering Peninsula,You should bring a group and a guide.,66274,7533872.692,471033.8346
rslaemnooeg,Golden Tower,"You should bring a group, a guide, and a weapon.",66579,7546655.577,457798.7927
esreaolmong,Lavish Cavern,You should bring a group and a guide.,67218,7539220.847,456291.4905
rslneegaomo,Painted Pasture,You should bring a group and a guide.,67538,7554792.264,477285.1352
oregenlaosm,Vast Palace,You should bring a group.,20945,7547435.091,466755.0223
lrmaoegosne,Pulsing Dome,You might want to bring a friend.,20331,7547117.462,467911.3793
solorgeeanm,Bleak Stronghold,You should bring a group.,64002,7550126.134,475573.0131
osgnarlmeoe,Rustic Park,You should be fine.,64039,7550255.511,468026.7667
lnosegorame,Luxuriant Volcano,This is probably your last adventure.,60489,7549833.312,455436.1391
esongmalore,Sanguine Citadel,You should bring a group.,60810,7546120.68,480546.1965
lsreoeoanmg,Ethereal Castle,You might want to bring a friend.,60811,7535404.942,450746.211
smrolgaeone,Forgotten Meadow,"You should bring a group, a guide, a weapon, and a healer.",60812,7535409.213,450717.2005
grooenalems,Inverted Ziggurat,You should be fine.,60813,7535417.442,450716.9403
asgelnoomer,Celestial Gorge,You should be fine.,60814,7535425.358,450716.9403
olrgenoamse,Serene Creek,You should bring a group.,61778,7550656.807,462621.2497
lmonogsreea,Whispered Abyss,This is probably your last adventure.,61779,7550907.327,462841.8225
lanemerosog,Sanguine Bog,This is probably your last adventure.,61780,7551129.854,463038.8278
mloageoesrn,Moaning Town,You should bring a group and a guide.,61781,7551356.233,463237.7631
srlmoeneoag,Spectral Scar,You might want to bring a friend.,61782,7551548.67,463406.5784
oogrmlasnee,Sacred Cape,"You should bring a group, a guide, and a weapon.",61783,7551590.12,463443.0367
ergnelomaos,Quaint Ruins,"You should bring a group, a guide, and a weapon.",61784,7551732.728,463571.0538
ernogmasleo,Pulsing Vale,"You should bring a group, a guide, a weapon, and a healer.",61785,7551986.428,463816.9514
rseonglaemo,Forbidden Dungeon,This is probably your last adventure.,61786,7551975.918,463657.0577
saonmorgele,Bewitched Maze,"You should bring a group, a guide, and a weapon.",61787,7551896.816,463331.226
oarenoeglsm,Scorched Cliff,You should be fine.,58562,7564863.787,481152.6982
goereomlsan,Moldering Vista,You might want to bring a friend.,58898,7543858.629,471893.7297
morlgnoasee,Serene Forest,You should bring a group and a guide.,56965,7533457.06,475043.7566
elmresonaog,Moaning Oasis,This is probably your last adventure.,56966,7533466.69,475059.7464
moeansolrge,Labyrinthine Garden,You should bring a group.,56967,7534672.771,476112.8097
oearelngosm,Serpentine Mountain,You should bring a group.,52489,7558260.049,486269.2608
areeomlgson,Gloomy Scar,This is probably your last adventure.,52490,7558478.14,486260.8094
ogaesemnlro,Mysterious Hollow,"You should bring a group, a guide, a weapon, and a healer.",52491,7558677.154,486253.0971
srolnoeameg,Magnificent Trail,You should bring a group.,52802,7543685.743,473366.6224
mloasenegro,Nocturnal Paradise,This is probably your last adventure.,53782,7548791.139,447954.6906
sroemgoalne,Phantasmal Crescent,This is probably your last adventure.,54083,7545193.44,451088.7421
rgeaolnmeos,Verdant Field,This is probably your last adventure.,54406,7543627.857,461974.9744
eagoeromlsn,Mystical Frost,You should be fine.,54413,7543701.286,462101.9882
lmnorsaeoeg,Glacial Reliquary,"You should bring a group, a guide, and a weapon.",54722,7545273.948,456849.7316
loreaongems,Sanguine Tundra,"You should bring a group, a guide, and a weapon.",55042,7550177.553,467920.2956
ognmrealeos,Stealthy Ledge,"You should bring a group, a guide, and a weapon.",55043,7540951.351,451152.0778
goasnremelo,Malevolent Dale,"You should bring a group, a guide, and a weapon.",55044,7540953.832,451153.1798
sanleregmoo,Cobalt Town,"You should bring a group, a guide, a weapon, and a healer.",55045,7540965.637,451152.6936
rasnmleogeo,Exquisite Tavern,You should bring a group.,55046,7540975.846,451152.1381
lsoanrgmeoe,Scalding Stronghold,You should be fine.,55047,7541381.578,469701.1654
oeloasengrm,Moaning Stronghold,You should bring a group and a guide.,55365,7549721.87,449522.2001
glameorseno,Shimmering Vault,You should bring a group.,55366,7549721.391,449512.2103
eglesronmoa,Hidden Cloister,"You should bring a group, a guide, a weapon, and a healer.",49621,7561720.318,482266.5141
lmenograose,Scorched Road,"You should bring a group, a guide, a weapon, and a healer.",49622,7561717.089,482271.8051
aroeolesgnm,Cavernous Vale,"You should bring a group, a guide, a weapon, and a healer.",49635,7562562.961,479743.8904
eosrgoleman,Asymmetrical Spring,"You should bring a group, a guide, a weapon, and a healer.",49645,7538029.821,452991.0636
emoaelgrons,Forbidden Refuge,You should bring a group.,49646,7538049.258,452820.648
rseegnomoal,Verdant Chapel,You should bring a group.,49648,7550388.918,472836.5617
nsmeoragloe,Tempestuous Field,You should be fine.,50242,7535969.676,450412.6886
ooesagelnrm,Mystical Ward,This is probably your last adventure.,50261,7536040.962,450358.5764
eanosmorelg,Subterranean Meadow,"You should bring a group, a guide, and a weapon.",50263,7536140.75,450354.9209
omoeenrlags,Misty Pond,"You should bring a group, a guide, a weapon, and a healer.",50264,7536139.669,450348.085
agosreemnlo,Wistful Ward,This is probably your last adventure.,50265,7536030.927,450351.8871
ronmgesoale,Sandy Sound,"You should bring a group, a guide, a weapon, and a healer.",50266,7535878.594,450364.8468
oasemlrogen,Luxuriant Crescent,You might want to bring a friend.,50267,7535922.674,450363.1135
ogsrlnmaeeo,Sweltering Barrow,You should bring a group and a guide.,50269,7550501.201,447644.4341
sarnegmeloo,Pulsing Quarry,You should be fine.,50882,7536432.419,454412.6932
rsoglaenoem,Winding Sierra,You should bring a group.,50883,7536414.892,454499.5945
lognmaesero,Flickering River,You might want to bring a friend.,50884,7536477.913,454574.7247
egaonoelsmr,Warped Monument,You should be fine.,50885,7537596.989,455715.8921
eooalmgesnr,Untamed Manor,You might want to bring a friend.,50886,7538118.013,456089.3041
esenolgoram,Enigmatic Jungle,"You should bring a group, a guide, a weapon, and a healer.",51202,7547257.21,453391.727
asonregmeol,Silvered Tundra,You might want to bring a friend.,51203,7547555.639,453379.6175
rlsongameoe,Smoldering Dale,"You should bring a group, a guide, and a weapon.",51204,7547856.709,453367.5804
leoroganems,Looming Badlands,You should be fine.,51205,7548157.36,453357.5328
rmsgeeooanl,Sinister Mesa,"You should bring a group, a guide, a weapon, and a healer.",51206,7548504.984,453341.7195
nleosgorame,Insidious Pass,"You should bring a group, a guide, a weapon, and a healer.",51207,7548757.2,453331.2192
lgonmeoaers,Sunken Boutique,You should bring a group.,51208,7549055.87,453320.4675
emanelrsoog,Shrouded Precinct,"You should bring a group, a guide, and a weapon.",51209,7549346.067,453335.853
oeersmglona,Shimmering Precinct,This is probably your last adventure.,51210,7549638.981,453394.644
nomleoaergs,Enchanted Fjord,"You should bring a group, a guide, a weapon, and a healer.",51211,7549917.395,453494.5138
rolgsenmoae,Whispering Geyser,You should bring a group and a guide.,51212,7548282.119,453623.8488
sgoarnlmeoe,Forbidden Estuary,"You should bring a group, a guide, a weapon, and a healer.",51213,7550307.869,453680.8081
aemgeosrnol,Soaring Colosseum,"You should bring a group, a guide, and a weapon.",51214,7550570.265,453817.0233
oselneormga,Meandering Cape,"You should bring a group, a guide, and a weapon.",51215,7550832.439,453948.0823
omagrenosel,Soaring Orchard,You should be fine.,51216,7550931.66,453998.4442
monreogleas,Serene Fjord,You should bring a group.,51217,7551610.526,454317.2822
egnmaeorols,Opulent Crescent,This is probably your last adventure.,51842,7553270.221,454413.7982
oseagormenl,Dusky Bayou,You might want to bring a friend.,44504,7554669.077,463791.226
asoeornegml,Mystical Kingdom,This is probably your last adventure.,44505,7554717.94,463705.4675
rosemgolane,Decayed Waste,"You should bring a group, a guide, a weapon, and a healer.",44506,7554764.808,463611.7313
ogrsmeaelno,Luminous Bunker,You should bring a group.,44507,7554735.889,463883.9652
ogeaenlsmor,Contorted Bayou,You might want to bring a friend.,44508,7554776.774,463967.2306
negseoalrom,Flourishing Borough,This is probably your last adventure.,44509,7554815.664,463875.9875
oaeoglmnser,Enigmatic Dale,You should bring a group and a guide.,44510,7555041.03,464077.919
loerensmago,Tangled Hamlet,"You should bring a group, a guide, and a weapon.",44512,7554853.558,464028.0594
noosmrleega,Verdant Summit,You should bring a group.,44513,7554966.24,463995.1519
mnsleoargeo,Nautical Gate,This is probably your last adventure.,45123,7539063.782,452588.8025
elromsangoe,Brilliant Glen,"You should bring a group, a guide, a weapon, and a healer.",45124,7539068.819,452513.8084
mgnorsoelae,Delirious Nook,"You should bring a group, a guide, and a weapon.",47362,7550519.777,472815.0335
ogsonemaler,Shadowy Valley,"You should bring a group, a guide, a weapon, and a healer.",47707,7543741.263,462479.1617
leoogeanrsm,Ethereal Gorge,This is probably your last adventure.,47708,7543837.653,462595.1975
onrgaleeoms,Celestial Monument,"You should bring a group, a guide, a weapon, and a healer.",47714,7555209.266,486418.6985
neragoslmoe,Bejeweled Steppes,You should bring a group.,39362,7548501.691,478982.6401
oarmenselog,Starlit Jungle,This is probably your last adventure.,39682,7537121.14,455370.1506
lrgeoesmano,Asymmetrical Ravine,You should bring a group.,40005,7536340.467,454305.8333
aoermnlogse,Turbulent Hill,You should bring a group and a guide.,40322,7536691.282,454795.1801
nsmgrlaeooe,Gleaming Sanctum,This is probably your last adventure.,40323,7536698.489,454789.106
esegoalmnro,Cavernous Hollow,You should bring a group.,40324,7536822.024,454933.0135
naesgerooml,Infinite Town,You should bring a group.,40325,7536814.382,454939.5981
mgelreaonso,Spectral Gulch,You should be fine.,41286,7532626.6,488949.2087
neormlsgeoa,Delirious Glen,You should bring a group.,41923,7546805.61,470366.439
olreeoasmgn,Hidden Village,This is probably your last adventure.,41925,7553987.534,459770.5043
enlmsoeagro,Secluded Spire,"You should bring a group, a guide, and a weapon.",41926,7553989.62,459862.417
somglneroae,Untamed Colosseum,You should bring a group.,41927,7553942.215,459863.5207
omoeelnsgar,Tangled Tavern,You should be fine.,41928,7553442.949,460672.5515
nrlaomseego,Shadowy Garrison,You should bring a group and a guide.,42562,7556189.992,462340.2503
maerelsngoo,Frigid Ranch,You should be fine.,42578,7551676.574,461412.5636
nraegmoosle,Watery Monument,"You should bring a group, a guide, a weapon, and a healer.",42579,7552126.232,461836.583
oeesalrnogm,Searing Mountain,You might want to bring a friend.,42599,7537055.499,455190.7871
sgalenomero,Whispering Glade,"You should bring a group, a guide, and a weapon.",44499,7554477.616,464098.3615
lreosnagemo,Starlit Atoll,You should bring a group.,44500,7554528.473,464035.5384
oengsmroale,Pallid Sierra,"You should bring a group, a guide, and a weapon.",44501,7554562.377,463993.6562
rsaemoegoln,Undulating Hill,"You should bring a group, a guide, a weapon, and a healer.",44502,7554617.223,463977.7011
aromoenegls,Scalding Moor,"You should bring a group, a guide, and a weapon.",44503,7554680.046,463890.9455
omosranglee,Stark Castle,You should be fine.,25212,7553682.905,461765.0814
ograsemelno,Petrified Road,You might want to bring a friend.,25239,7555051.146,461750.1093
gsonmreoeal,Twinkling Fjord,You should bring a group and a guide.,25302,7552727.435,461690.3839
mrenelsogoa,Brilliant Scar,"You should bring a group, a guide, and a weapon.",25351,7554896.824,461636.0568
rlanogsoeem,Haunted Mountain,This is probably your last adventure.,25459,7552769.971,461514.6335
egomeoarsnl,Subterranean Gulf,You might want to bring a friend.,25534,7553477.812,461423.436
aeoesglrnom,Searing Ridge,"You should bring a group, a guide, a weapon, and a healer.",25544,7553667.359,461415.0699
oearlgemnso,Inverted Bivouac,You should bring a group and a guide.,25576,7555256.074,461367.7841
nmeorgesloa,Azure Sanctuary,You should bring a group.,25630,7555063.243,461324.3766
oonlmsraege,Bountiful Range,"You should bring a group, a guide, and a weapon.",25638,7555283.859,461315.7329
gneseoarolm,Moldering Fjord,You should be fine.,25733,7555110.203,461237.0774
lamsnoergeo,Roaring Sanctuary,This is probably your last adventure.,25746,7553914.012,461334.5075
aegonresolm,Obsidian Plaza,You should be fine.,25950,7555473.959,460960.541
oeomarelgsn,Hallowed Crater,"You should bring a group, a guide, a weapon, and a healer.",26000,7553455.236,460914.3225
elomsrenago,Serpentine Bunker,You might want to bring a friend.,26014,7553645.003,460905.9383
segoeloamnr,Winding Quarters,You should bring a group and a guide.,26117,7552811.436,460737.4593
aelngosrmoe,Brilliant Castle,This is probably your last adventure.,26478,7554445.272,460270.8435
aolgenemrso,Tumultuous Highland,You should be fine.,26635,7554439.966,460071.7231
egalnreooms,Luxuriant Boutique,"You should bring a group, a guide, a weapon, and a healer.",26851,7554098.556,459773.6358
eregsamlono,Divine Ravine,This is probably your last adventure.,26865,7553940.247,459757.5581
gemelnorsoa,Charmed Meadow,You should be fine.,26867,7554030.799,459751.4167
oemlanegsro,Hollow Bog,You might want to bring a friend.,26869,7554096.926,459749.7238
ogenomeasrl,Desolate Dome,You might want to bring a friend.,26878,7554346.916,459743.4741
omrsaonegel,Golden Ranch,You should be fine.,26881,7554431.9,459741.0121
amgroeeonsl,Tranquil Warren,You might want to bring a friend.,26887,7554761.789,459732.6818
rnmloageeso,Unforgiving Isle,You should bring a group and a guide.,26935,7553820.463,459603.8599
seloaoergnm,Vibrant Spire,You should bring a group and a guide.,2864,7549354.353,486027.8173
srolmaeegno,Ominous Cape,You should bring a group.,12114,7540357.751,477058.689
oeesarlogmn,Legendary Dune,You should bring a group and a guide.,19573,7557414.432,469197.0528
olaroesgemn,Forbidden Gorge,"You should bring a group, a guide, a weapon, and a healer.",11521,7552202.316,464877.1417
lemenorgoas,Zephyrous Boutique,This is probably your last adventure.,38437,7548090.764,472472.6096
enloasgroem,Parched Cape,You should bring a group.,21857,7554201.893,465340.6148
rgeloseoanm,Azure Sea,You might want to bring a friend.,21926,7553843.828,465254.4678
rnealomoseg,Gritty Pantry,You should be fine.,22003,7553637.319,465145.5449
mnoosaelgre,Stony Tundra,"You should bring a group, a guide, a weapon, and a healer.",22079,7553834.017,465052.2428
omsralnoege,Searing Ruins,You might want to bring a friend.,22144,7553126.939,464943.477
nemloarseog,Stark Pasture,You should be fine.,22163,7553628.626,464924.3527
osoealnermg,Reverberating Domain,You might want to bring a friend.,22254,7553823.501,464799.7303
lmoeonaresg,Reverberating Forge,This is probably your last adventure.,22295,7553221.428,464766.2297
norlmegsoea,Nautical Path,"You should bring a group, a guide, and a weapon.",22336,7553461.226,464725.8051
mrleneaogso,Forgotten Stronghold,"You should bring a group, a guide, a weapon, and a healer.",22405,7554171.478,464643.3278
omlsogrneae,Twinkling Spire,"You should bring a group, a guide, and a weapon.",22427,7551970.706,464618.6394
rgomslnoeea,Subterranean Monolith,You should bring a group and a guide.,22441,7553814.762,464607.4154
lmsoreangoe,Majestic Tavern,This is probably your last adventure.,22527,7553350.045,464525.3412
nsleamegoor,Eldritch Mire,You should bring a group.,22558,7553809.64,464495.628
eneomsgalor,Legendary Pantry,You should bring a group.,22567,7552746.094,464474.0151
egsromloean,Celestial Volcano,"You should bring a group, a guide, a weapon, and a healer.",22622,7552741.625,464394.6919
oalgeorensm,Zephyrous Pass,You should bring a group.,22623,7553638.614,464393.8973
gaoeoemlsnr,Stark Cavern,You should bring a group.,22785,7553797.322,464212.2467
lsmegnareoo,Unforgiving Range,This is probably your last adventure.,22927,7553594.635,464083.8842
oogrmeenals,Warped Depot,"You should bring a group, a guide, and a weapon.",23211,7552595.645,463843.581
losenomearg,Wistful Dungeon,This is probably your last adventure.,23338,7553771.272,463741.1165
mosegaroenl,Murmuring Bivouac,You should bring a group and a guide.,23340,7553580.162,463740.8209
soelgearnmo,Exquisite Rookery,You should bring a group and a guide.,23347,7552875.193,463735.064
lnsromeogea,Luminous Enclave,You might want to bring a friend.,23419,7553816.739,463656.2822
