X,Y,OBJECTID,UNITTYPE,OWNEDBY,MAINTAINEDBY,STATUS,UNITID
7552496.094,471402.9806,144,MH,CS,CS,ACT,18286
7552626.609,471305.8383,145,MH,CS,CS,ACT,18338
7546472.719,453040.3182,148,MH,CS,CS,ACT,31920
7558485.906,477858.0341,149,MH,CS,CS,ACT,10806
7538341.277,477142.5016,150,MH,CS,CS,ACT,12025
7540958.555,480009.9226,151,CO,CS,CS,ACT,8087
7536056.157,483507.7398,153,MH,CS,CS,ACT,4565
7536050.614,483504.7792,154,MH,CS,CS,ACT,4569
7536045.505,483501.8186,155,MH,CS,CS,ACT,4571
7539348.393,477328.503,162,FCMH,CS,CS,ACT,11677
7552415.208,464074.9199,163,WQMH,CS,CS,ACT,22937
7543934.395,455086.8123,166,MH,CS,CS,ACT,30034
7541681.906,477868.3379,167,MH,CS,CS,ACT,10784
7546724.698,443667.0453,168,MH,CS,CS,ACT,36319
7546876.815,443268.0984,169,FCMH,CS,CS,ACT,36373
7546334.297,443523.2556,170,MH,CS,CS,ACT,36345
7546163.617,443460.9426,171,MH,CS,CS,ACT,36353
7551826.777,484554.2592,172,MH,CS,CS,ACT,3835
7545067.106,451120.5843,173,CO,CS,CS,ACT,33401
7545081.224,451450.3688,174,FCMH,CS,CS,ACT,33101
7545122.415,456698.8501,175,MH,CS,CS,ACT,28747
7545121.311,456660.8281,176,MH,CS,CS,ACT,28773
7545171.841,456659.3688,177,MH,CS,CS,ACT,28775
7545167.71,456528.518,178,MH,CS,CS,ACT,28859
7546511.427,462636.2323,180,CO,CS,CS,ACT,24340
7546543.222,462375.498,181,CO,CS,CS,ACT,24603
7541547.447,478337.4262,183,MH,STAT,CS,ACT,69458
7541657.577,478403.9718,190,MH,STAT,CS,ACT,10094
7541607.086,478339.8343,191,MH,STAT,CS,ACT,10201
7541604.909,478294.894,192,MH,STAT,CS,ACT,10274
7541680.339,478263.1811,193,MH,STAT,CS,ACT,10294
7541684.006,478239.4829,194,MH,STAT,CS,ACT,10316
7547093.06,468310.7546,195,CO,CS,CS,ACT,20061
7563358.844,473183.815,199,MH,CS,CS,ACT,17175
7549179.762,451577.9508,205,FCMH,CS,CS,ACT,64666
7550017.792,466655.7313,207,MH,CS,CS,ACT,64978
7558626.27,477602.2733,212,MH,CS,CS,ACT,65303
7533872.692,471033.8346,233,MH,CS,CS,ABND,66274
7546655.577,457798.7927,234,MH,CS,CS,ACT,66579
7539220.847,456291.4905,238,CO,CS,CS,ACT,67218
7554792.264,477285.1352,240,MH,CS,CS,REM,67538
7547435.091,466755.0223,248,MH,CS,CS,ACT,20945
7547117.462,467911.3793,249,MH,CS,CS,ACT,20331
7550126.134,475573.0131,266,MH,CS,CS,ACT,64002
7550255.511,468026.7667,284,CO,CS,CS,ACT,64039
7549833.312,455436.1391,297,CO,CS,CS,ACT,60489
7546120.68,480546.1965,308,MH,CS,CS,ACT,60810
7535404.942,450746.211,309,CO,CS,CS,ACT,60811
7535409.213,450717.2005,310,CO,CS,CS,ACT,60812
7535417.442,450716.9403,311,CO,CS,CS,ACT,60813
7535425.358,450716.9403,312,CO,CS,CS,ACT,60814
7550656.807,462621.2497,330,CO,CS,CS,ACT,61778
7550907.327,462841.8225,331,CO,CS,CS,ACT,61779
7551129.854,463038.8278,332,MH,CS,CS,ACT,61780
7551356.233,463237.7631,333,MH,CS,CS,ACT,61781
7551548.67,463406.5784,334,CO,CS,CS,ACT,61782
7551590.12,463443.0367,335,CO,CS,CS,ACT,61783
7551732.728,463571.0538,336,CO,CS,CS,ACT,61784
7551986.428,463816.9514,337,CO,CS,CS,ACT,61785
7551975.918,463657.0577,338,CO,CS,CS,ACT,61786
7551896.816,463331.226,339,CO,CS,CS,ACT,61787
7564863.787,481152.6982,371,MH,CS,CS,ACT,58562
7543858.629,471893.7297,387,MH,CS,CS,ACT,58898
7533457.06,475043.7566,397,MH,CS,CS,ACT,56965
7533466.69,475059.7464,398,MH,CS,CS,ACT,56966
7534672.771,476112.8097,399,MH,CS,CS,ACT,56967
7558260.049,486269.2608,433,MH,CS,CS,ACT,52489
7558478.14,486260.8094,434,MH,CS,CS,ACT,52490
7558677.154,486253.0971,435,MH,CS,CS,ACT,52491
7543685.743,473366.6224,436,CO,CS,CS,ACT,52802
7548791.139,447954.6906,441,CO,CS,CS,ACT,53782
7545193.44,451088.7421,443,MH,CS,CS,ACT,54083
7543627.857,461974.9744,450,CO,CS,CS,ACT,54406
7543701.286,462101.9882,457,CO,CS,CS,ACT,54413
7545273.948,456849.7316,460,MH,CS,CS,ACT,54722
7550177.553,467920.2956,465,WQVLT,CS,CS,ACT,55042
7540951.351,451152.0778,466,FCMH,CS,CS,ACT,55043
7540953.832,451153.1798,467,CO,CS,CS,ACT,55044
7540965.637,451152.6936,468,CO,CS,CS,ACT,55045
7540975.846,451152.1381,469,CO,CS,CS,ACT,55046
7541381.578,469701.1654,470,CO,CS,CS,ACT,55047
7549721.87,449522.2001,477,MH,CS,CS,ACT,55365
7549721.391,449512.2103,478,MH,CS,CS,ACT,55366
7561720.318,482266.5141,480,MH,CS,CS,ACT,49621
7561717.089,482271.8051,481,MH,CS,CS,ACT,49622
7562562.961,479743.8904,482,MH,CS,CS,ACT,49635
7538029.821,452991.0636,483,MH,CS,CS,ACT,49645
7538049.258,452820.648,484,MH,CS,CS,ACT,49646
7550388.918,472836.5617,485,MH,CS,CS,ACT,49648
7535969.676,450412.6886,494,MH,CS,CS,ACT,50242
7536040.962,450358.5764,495,CO,CS,CS,ACT,50261
7536140.75,450354.9209,496,CO,CS,CS,ACT,50263
7536139.669,450348.085,497,CO,CS,CS,ACT,50264
7536030.927,450351.8871,498,CO,CS,CS,ACT,50265
7535878.594,450364.8468,499,CO,CS,CS,ACT,50266
7535922.674,450363.1135,500,CO,CS,CS,ACT,50267
7550501.201,447644.4341,501,CO,CS,CS,ACT,50269
7536432.419,454412.6932,506,CO,CS,CS,ACT,50882
7536414.892,454499.5945,507,CO,CS,CS,ACT,50883
7536477.913,454574.7247,508,CO,CS,CS,ACT,50884
7537596.989,455715.8921,509,CO,CS,CS,ACT,50885
7538118.013,456089.3041,510,CO,CS,CS,ACT,50886
7547257.21,453391.727,511,CO,CS,CS,ACT,51202
7547555.639,453379.6175,512,CO,CS,CS,ACT,51203
7547856.709,453367.5804,513,CO,CS,CS,ACT,51204
7548157.36,453357.5328,514,CO,CS,CS,ACT,51205
7548504.984,453341.7195,515,CO,CS,CS,ACT,51206
7548757.2,453331.2192,516,CO,CS,CS,ACT,51207
7549055.87,453320.4675,517,CO,CS,CS,ACT,51208
7549346.067,453335.853,518,CO,CS,CS,ACT,51209
7549638.981,453394.644,519,CO,CS,CS,ACT,51210
7549917.395,453494.5138,520,CO,CS,CS,ACT,51211
7548282.119,453623.8488,521,CO,CS,CS,ACT,51212
7550307.869,453680.8081,522,CO,CS,CS,ACT,51213
7550570.265,453817.0233,523,CO,CS,CS,ACT,51214
7550832.439,453948.0823,524,CO,CS,CS,ACT,51215
7550931.66,453998.4442,525,CO,CS,CS,ACT,51216
7551610.526,454317.2822,526,CO,CS,CS,ACT,51217
7553270.221,454413.7982,529,CO,CS,CS,ACT,51842
7554669.077,463791.226,530,CO,CS,CS,ACT,44504
7554717.94,463705.4675,531,CO,CS,CS,ACT,44505
7554764.808,463611.7313,532,CO,CS,CS,ACT,44506
7554735.889,463883.9652,533,CO,CS,CS,ACT,44507
7554776.774,463967.2306,534,CO,CS,CS,ACT,44508
7554815.664,463875.9875,535,CO,CS,CS,ACT,44509
7555041.03,464077.919,536,CO,CS,CS,ACT,44510
7554853.558,464028.0594,538,CO,CS,CS,ACT,44512
7554966.24,463995.1519,539,CO,CS,CS,ACT,44513
7539063.782,452588.8025,542,MH,CS,CS,ACT,45123
7539068.819,452513.8084,543,MH,CS,CS,ACT,45124
7550519.777,472815.0335,577,CO,CS,CS,ACT,47362
7543741.263,462479.1617,578,CO,CS,CS,ACT,47707
7543837.653,462595.1975,579,CO,CS,CS,ACT,47708
7555209.266,486418.6985,584,MH,CS,CS,ACT,47714
7548501.691,478982.6401,596,MH,CS,CS,ACT,39362
7537121.14,455370.1506,597,CO,CS,CS,ACT,39682
7536340.467,454305.8333,598,CO,CS,CS,ACT,40005
7536691.282,454795.1801,599,MH,CS,CS,ACT,40322
7536698.489,454789.106,600,MH,CS,CS,ACT,40323
7536822.024,454933.0135,601,MH,CS,CS,ACT,40324
7536814.382,454939.5981,602,MH,CS,CS,ACT,40325
7532626.6,488949.2087,603,CO,CS,CS,PROP,41286
7546805.61,470366.439,607,CO,CS,CS,ACT,41923
7553987.534,459770.5043,608,CO,CS,CS,ACT,41925
7553989.62,459862.417,609,CO,CS,CS,ACT,41926
7553942.215,459863.5207,610,CO,CS,CS,ACT,41927
7553442.949,460672.5515,611,MH,CS,CS,ACT,41928
7556189.992,462340.2503,622,MH,CS,CS,ACT,42562
7551676.574,461412.5636,623,CO,CS,CS,ACT,42578
7552126.232,461836.583,624,CO,CS,CS,ACT,42579
7537055.499,455190.7871,625,MH,CS,CS,ACT,42599
7554477.616,464098.3615,645,CO,CS,CS,ACT,44499
7554528.473,464035.5384,646,CO,CS,CS,ACT,44500
7554562.377,463993.6562,647,MH,CS,CS,ACT,44501
7554617.223,463977.7011,648,MH,CS,CS,ACT,44502
7554680.046,463890.9455,649,MH,CS,CS,ACT,44503
7553682.905,461765.0814,650,MH,CS,CS,ACT,25212
7555051.146,461750.1093,651,MH,CS,CS,ACT,25239
7552727.435,461690.3839,652,MH,CS,CS,ACT,25302
7554896.824,461636.0568,653,MH,CS,CS,ACT,25351
7552769.971,461514.6335,654,MH,CS,CS,ACT,25459
7553477.812,461423.436,655,MH,CS,CS,ACT,25534
7553667.359,461415.0699,656,MH,CS,CS,ACT,25544
7555256.074,461367.7841,657,MH,CS,CS,ACT,25576
7555063.243,461324.3766,658,MH,CS,CS,ACT,25630
7555283.859,461315.7329,659,MH,CS,CS,ACT,25638
7555110.203,461237.0774,660,MH,CS,CS,ACT,25733
7553914.012,461334.5075,661,MH,CS,CS,ACT,25746
7555473.959,460960.541,662,MH,CS,CS,ACT,25950
7553455.236,460914.3225,663,MH,CS,CS,ACT,26000
7553645.003,460905.9383,664,MH,CS,CS,ACT,26014
7552811.436,460737.4593,665,MH,CS,CS,ACT,26117
7554445.272,460270.8435,666,MH,CS,CS,ACT,26478
7554439.966,460071.7231,667,MH,CS,CS,ACT,26635
7554098.556,459773.6358,668,MH,CS,CS,ACT,26851
7553940.247,459757.5581,669,FCMH,CS,CS,ACT,26865
7554030.799,459751.4167,670,MH,CS,CS,ACT,26867
7554096.926,459749.7238,671,WEIR,CS,CS,ACT,26869
7554346.916,459743.4741,672,MH,CS,CS,ACT,26878
7554431.9,459741.0121,673,MH,CS,CS,ACT,26881
7554761.789,459732.6818,674,MH,CS,CS,ACT,26887
7553820.463,459603.8599,675,MH,CS,CS,ACT,26935
7549354.353,486027.8173,688,WQMH,PVT,CS,ACT,2864
7540357.751,477058.689,690,WQMH,PVT,CS,ACT,12114
7557414.432,469197.0528,696,FCMH,PVT,CS,ACT,19573
7552202.316,464877.1417,705,CO,CS,CS,ACT,11521
7548090.764,472472.6096,706,MH,CS,CS,ACT,38437
7554201.893,465340.6148,708,MH,CS,CS,ACT,21857
7553843.828,465254.4678,709,MH,CS,CS,ACT,21926
7553637.319,465145.5449,710,MH,CS,CS,ACT,22003
7553834.017,465052.2428,711,MH,CS,CS,ACT,22079
7553126.939,464943.477,712,MH,CS,CS,ACT,22144
7553628.626,464924.3527,713,MH,CS,CS,ACT,22163
7553823.501,464799.7303,714,MH,CS,CS,ACT,22254
7553221.428,464766.2297,715,MH,CS,CS,ACT,22295
7553461.226,464725.8051,716,MH,CS,CS,ACT,22336
7554171.478,464643.3278,717,MH,CS,CS,ACT,22405
7551970.706,464618.6394,718,FCMH,CS,CS,ACT,22427
7553814.762,464607.4154,719,MH,CS,CS,ACT,22441
7553350.045,464525.3412,720,MH,CS,CS,ACT,22527
7553809.64,464495.628,721,MH,CS,CS,ACT,22558
7552746.094,464474.0151,722,MH,CS,CS,ACT,22567
7552741.625,464394.6919,723,MH,CS,CS,ACT,22622
7553638.614,464393.8973,724,MH,CS,CS,ACT,22623
7553797.322,464212.2467,725,MH,CS,CS,ACT,22785
7553594.635,464083.8842,726,MH,CS,CS,ACT,22927
7552595.645,463843.581,727,MH,CS,CS,ACT,23211
7553771.272,463741.1165,728,MH,CS,CS,ACT,23338
7553580.162,463740.8209,729,MH,CS,CS,ACT,23340
7552875.193,463735.064,730,MH,CS,CS,ACT,23347
7553816.739,463656.2822,731,MH,CS,CS,ACT,23419
7552916.83,463579.2064,732,MH,CS,CS,ACT,23494
7553569.89,463488.2785,733,MH,CS,CS,ACT,23580
7552694.859,463432.9583,734,MH,CS,CS,ACT,23632
7553756.631,463414.0791,735,MH,CS,CS,ACT,23666
7553964.846,463379.1224,736,MH,CS,CS,ACT,23691
7553561.987,463306.0082,737,MH,CS,CS,ACT,23745
7554231.081,463284.3556,738,MH,CS,CS,ACT,23761
7553747.922,463213.3058,739,MH,CS,CS,ACT,23806
7554086.246,463151.98,740,MH,CS,CS,ACT,23874
7561092.062,462993.2195,741,MH,CS,CS,ABND,24019
7553098.004,462912.852,742,MH,CS,CS,ACT,24066
7554440.492,462892.6585,743,MH,CS,CS,ACT,24089
7553541.925,462863.8317,744,MH,CS,CS,ACT,24116
7553731.702,462857.6854,745,MH,CS,CS,ACT,24121
7562025.596,462770.9718,746,MH,CS,CS,ABND,24194
7552176.468,462741.5781,747,MH,CS,CS,ACT,24217
7561512.744,462697.0597,748,MH,CS,CS,ABND,24259
7561450.962,462686.7982,749,MH,CS,CS,ABND,24274
7552767.645,462662.271,750,MH,CS,CS,ACT,24306
7555679.101,462653.0197,751,MH,CS,CS,ACT,24324
7555566.529,462593.982,752,MH,CS,CS,ACT,24383
7555721.128,462573.9692,753,MH,CS,CS,ACT,24395
7560538.72,462561.5295,754,MH,CS,CS,ABND,24410
7554436.608,462496.9222,755,MH,CS,CS,ACT,24471
7553524.873,462486.1844,756,MH,CS,CS,ACT,24487
7553714.872,462479.0741,757,MH,CS,CS,ACT,24497
7556059.339,462452.1631,758,MH,CS,CS,ACT,24525
7554758.833,462297.1007,759,MH,CS,CS,ACT,24678
7555928.982,462262.979,760,MH,CS,CS,ACT,24719
7554577.849,462233.4603,761,MH,CS,CS,ACT,24752
7553208.257,462212.5955,762,MH,CS,CS,ACT,24765
7552313.362,462206.6063,763,MH,CS,CS,ACT,24773
7553510.706,462164.0161,764,MH,CS,CS,ACT,24806
7553700.572,462152.7477,765,MH,CS,CS,ACT,24815
7554877.653,462073.9291,766,MH,CS,CS,ACT,24881
7554664.755,462069.8829,767,MH,CS,CS,ACT,24886
7552219.346,462007.6299,768,FCMH,CS,CS,ACT,24953
7554496.674,462006.0692,769,MH,CS,CS,ACT,24954
7553690.856,461942.4446,770,MH,CS,CS,ACT,25021
7556134.138,461882.8586,771,MH,CS,CS,ACT,25063
7553498.359,461878.3317,772,MH,CS,CS,ACT,25066
7556020.566,461813.4157,773,MH,CS,CS,ACT,25154
7553185.446,461782.874,774,MH,CS,CS,ACT,25189
7553512.206,461771.2828,775,MH,CS,CS,ACT,25205
7552778.353,463640.7582,776,CO,CS,CS,ACT,23435
7553901.356,463241.8921,777,CO,CS,CS,ACT,23779
7552241.323,463182.8415,778,CO,CS,CS,ACT,23836
7554070.202,462798.6286,779,CO,CS,CS,ACT,24098
7553967.631,462725.5755,780,CO,CS,CS,ACT,24144
7552771.289,462745.1434,781,CO,CS,CS,ACT,24212
7553228.373,462734.0266,782,CO,CS,CS,ACT,24224
7553681.091,461718.9941,783,CO,CS,CS,ACT,25328
7552965.215,460983.2146,784,CO,CS,CS,ACT,25929
7552849.101,460961.5732,785,CO,CS,CS,ACT,25949
7552957.516,460956.3711,786,CO,CS,CS,ACT,25957
7552848.268,460947.4232,787,CO,CS,CS,ACT,25964
7554028.985,459861.1975,788,CO,CS,CS,ACT,26803
7553940.44,459772.7552,789,CO,CS,CS,ACT,26853
7554026.929,459769.7116,790,CO,CS,CS,ACT,26858
7554043.441,459745.456,791,CO,CS,CS,ACT,26875
7554080.735,459744.7841,792,CO,CS,CS,ACT,26877
7539179.36,457983.3232,793,CO,CS,CS,REM,28036
7551496.645,475678.314,794,CO,CS,CS,ACT,14189
7550851.473,475059.6486,795,CO,CS,CS,ACT,15072
7551492.484,475667.482,803,MH,CS,CS,ACT,14203
7551412.714,475656.146,804,MH,CS,CS,ACT,14227
7551479.7,475654.3009,805,MH,CS,CS,ACT,14228
7551408.724,475529.815,806,MH,CS,CS,ACT,14463
7550057.849,475376.1614,807,MH,CS,CS,ACT,14669
7550722.165,475109.5948,808,MH,CS,CS,ACT,15006
7550861.576,475056.3465,809,MH,CS,CS,ACT,15082
7551043.874,474989.5522,810,MH,CS,CS,ACT,15194
7551548.584,474968.1401,811,MH,CS,CS,ACT,15240
7552053.908,474948.2989,812,MH,CS,CS,ACT,15269
7552281.328,474944.4465,813,MH,CS,CS,ACT,15273
7551040.542,474793.3248,814,MH,CS,CS,ACT,15502
7552438.1,474785.6401,815,MH,CS,CS,ACT,15512
7550745.216,474761.4104,816,MH,CS,CS,ACT,15547
7550663.594,474756.7536,817,MH,CS,CS,ACT,15556
7551527.538,474307.0774,818,MH,CS,CS,ACT,16091
7551608.579,474157.4409,819,MH,CS,CS,ACT,16311
7551962.538,467262.8225,821,MH,CS,CS,ACT,20664
7553675.24,465946.0341,823,MH,CS,CS,ACT,21416
7553872.637,465937.1847,824,MH,CS,CS,ACT,21421
7552818.132,465929.1319,825,MH,CS,CS,ACT,21430
7552667.223,465877.792,826,MH,CS,CS,ACT,21471
7552634.17,465861.06,827,MH,CS,CS,ACT,21494
7552679.054,465839.5751,828,MH,CS,CS,ACT,21525
7553663.759,465716.9327,829,MH,CS,CS,ACT,21618
7552739.34,465648.8327,830,MH,CS,CS,ACT,21661
7553854.783,465512.1201,832,MH,CS,CS,ACT,21730
7553651.005,465430.8875,833,MH,CS,CS,ACT,21797
7557171.633,458125.8556,835,MH,CS,CS,ACT,27948
7557409.64,457745.0095,836,MH,CS,CS,ACT,28187
7555959.369,476865.6486,837,CO,CS,CS,REM,12383
7551882.537,475644.3579,838,MH,CS,CS,ABND,14239
7551166.069,451583.8488,839,MH,CS,CS,REM,32965
7547006.445,478792.6512,840,MH,CS,CS,REM,9647
7546975.461,478714.7441,841,MH,CS,CS,REM,9744
7548944.058,477699.7392,842,MH,CS,CS,ABND,11134
7555960.012,476891.0026,843,MH,CS,CS,REM,12343
7561189.762,462696.7815,844,MH,CS,CS,REM,24260
7546989.286,485290.6073,850,CO,CS,CS,REM,3290
7548909.637,480989.917,851,CO,CS,CS,ACT,7008
7547904.229,480271.0951,852,CO,CS,CS,ACT,7747
7552741.548,475951.2451,854,CO,CS,CS,ACT,13799
7550856.426,475857.9124,855,CO,CS,CS,ACT,13934
7551149.667,475744.3743,856,CO,CS,CS,ACT,14110
7550374.608,475678.503,857,CO,CS,CS,ACT,14188
7552583.984,475595.3507,858,CO,CS,CS,ACT,14339
7550691.754,475564.128,859,CO,CS,CS,ACT,14387
7551252.932,475211.9488,860,CO,CS,CS,ACT,14893
7551551.574,475011.6335,861,CO,CS,CS,ACT,15146
7552406.906,474627.6739,862,CO,CS,CS,ACT,15709
7552414.913,474464.5289,863,CO,CS,CS,ACT,15915
7552468.19,474463.7425,864,CO,CS,CS,ACT,15917
7549929.665,474454.6017,865,CO,CS,CS,ACT,15927
7549937.688,474441.1844,866,CO,CS,CS,ACT,15935
7550072.777,474395.7405,867,CO,CS,CS,ACT,15982
7550057.567,474392.1926,868,CO,CS,CS,ACT,15989
7552895.891,466000.9787,870,CO,CS,CS,ACT,21380
7554198.585,465243.1073,871,CO,CS,CS,ACT,21931
7554193.569,465135.9573,872,CO,CS,CS,ACT,22015
7554185.439,464956.1969,873,CO,CS,CS,ACT,22132
7554180.951,464853.2369,874,CO,CS,CS,ACT,22200
7551973.528,464682.6585,875,CO,CS,CS,ACT,22367
7552078.996,464679.8373,876,CO,CS,CS,ACT,22369
7552357.177,464652.7946,877,CO,CS,CS,ACT,22397
7554211.865,464596.709,878,CO,CS,CS,ACT,22449
7552147.957,464540.728,879,CO,CS,CS,ACT,22498
7553613.905,464527.1165,880,CO,CS,CS,ACT,22522
7552429.394,464516.5531,881,CO,CS,CS,ACT,22535
7553851.296,464308.5217,882,CO,CS,CS,ACT,22713
7552628.121,463719.8589,883,CO,CS,CS,ACT,23357
7554178.787,463757.6906,884,CO,CS,CS,ACT,23387
7540375.551,456335.2671,885,CO,CS,CS,ACT,29019
7558369.632,482215.4475,886,MH,CS,CS,ACT,5709
7540216.626,456386.0135,887,MH,CS,CS,ACT,28956
7546043.374,474034.7103,888,CO,CS,CS,ACT,16520
7545737.73,474202.5305,889,MH,CS,CS,ACT,16223
7547506.743,473509.4544,890,MH,CS,CS,ACT,16954
7539668.247,474888.2536,891,MH,CS,CS,ACT,15375
7547223.636,474033.4019,892,CO,CS,CS,ACT,16518
7558138.175,483289.0932,893,MH,CS,CS,ACT,4765
7545857.496,478253.7159,894,CO,CS,CS,ACT,10350
7546672.853,476738.9833,895,MH,CS,CS,ACT,12532
7545909.016,477189.2995,896,MH,CS,CS,ACT,56977
7552855.709,471186.3556,897,MH,CS,CS,ACT,18412
7550612.719,469771.4465,898,CO,CS,CS,ACT,19130
7549861.668,469678.0479,899,MH,CS,CS,ACT,19200
7546980.344,453020.3448,925,MH,CS,CS,ACT,31930
7559253.086,478026.9219,927,MH,CS,CS,ACT,10560
7559247.581,477839.4902,928,MH,CS,CS,ACT,10850
